PID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,Cond,attencheck1,attencheck2,self-admit,taskloadeffort_1,taskloadeffort_9,taskloadeffort_10,taskloadeffort_11,taskloadeffort_12,taskloadeffort_13,taskloadeffort_14,taskloadeffort_15,taskloadeffort_16,taskloadnothing_1,taskloadnothing_9,taskloadnothing_10,taskloadnothing_11,taskloadnothing_12,taskloadnothing_13,taskloadnothing_14,taskloadnothing_15,taskloadnothing_16,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_17,nfc_18,bps_1,bps_2,bps_3,bps_4,bps_5,bps_6,bps_7,bps_8,moe_1,moe_2,moe_3,moe_4,moe_5,moe_6,moe_7,moe_8,moe_9,moe_10,moe_11,moe_12,moe_13,moe_14,moe_15,moe_16,moe_17,moe_18,SDS_1,SDS_2,SDS_3,SDS_4,SDS_5,SDS_6,SDS_7,SDS_8,SDS_9,SDS_10,SDS_11,SDS_12,SDS_13,SDS_14,SDS_15
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lowpay,Green,Blue,No,0.88,3.25,1.64,1.98,5.31,1.59,1.1,1.03,3.29,1.02,3.03,0.4,1.14,6.18,0.6,1.22,0.46,1.4,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree
12,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,Lowpay,Green,Blue,Yes,3.69,1.38,0.97,2.44,4.07,3.8,1.48,4.72,3.88,0.76,0,0,0.63,0.63,0.33,0.34,0.97,0.64,Agree Strongly,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Strongly,Disagree Strongly,Disagree Strongly,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Agree Somewhat,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
13,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Highpay,Green,Blue,Yes,2.1,2.13,3.95,0.91,7,0,0,0.07,4.15,0,7,1.02,0,7,0.06,0,0,0.1,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree
14,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,Highpay,Green,Blue,No,2.07,2.01,0.99,2.29,5.73,0.71,0.77,0.07,1.16,0.07,4.69,0.07,0.07,6.04,0,2.05,0.65,0.07,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,Disagree Strongly,Agree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Disagree Strongly,Agree Somewhat,Agree,Agree,Disagree,Strongly agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
15,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Highpay,Green,Blue,No,1.88,1.91,0,0.81,6.18,2.03,0,0,2.92,0,0,0,0.61,5.06,0,1.8,0,0,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree
16,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,Lowpay,Green,Blue,Yes,0.06,2.51,4.02,5.44,5.51,3.52,0.16,0.29,1.97,0.16,6.54,0.25,0.52,0.15,0.15,0.08,0.25,0.09,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lowpay,Green,Blue,No,0.6,7,0.17,1.39,7,0.04,0.1,0.15,0.13,3.58,7,0.07,0.19,0.07,0.07,0.07,3.73,0.13,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
18,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,Highpay,Green,Blue,Yes,3,1.92,0.95,3.99,5.11,1.02,1.11,1.87,0.95,0.09,7,0.16,0.48,7,0.18,6.02,4.42,0.08,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Agree Strongly,Strongly agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Highpay,Green,Blue,Yes,6.99,3.36,3.4,3.4,7,5.54,4.2,3.11,5.07,2.1,2.45,1.72,1.39,2.45,3.48,0.74,0.92,1.4,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Highpay,Green,Blue,No,2.77,1.89,4.03,0.3,7,1.11,0.44,0.5,3.18,0.67,7,0.73,0.67,7,0.07,0.3,0.37,0.65,Neither Agree nor Disagree,Agree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Disagree Strongly,Agree Strongly,Agree Strongly,Neither Agree nor Disagree,Agree Strongly,Disagree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Agree Somewhat,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
21,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,Lowpay,Green,Blue,No,0.56,3.18,0.02,1.89,5.42,0.12,0.01,0.14,0.3,0,7,0,0,7,0,0,1.91,0,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
22,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lowpay,Green,Blue,Yes,3.43,3.43,2.36,1.13,6.02,1.35,1.18,1.23,3.45,0.07,7,0.12,0.05,7,0.06,6.01,0.01,3.28,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Agree Strongly,Neither Agree nor Disagree,Agree Strongly,Neither Agree nor Disagree,Agree Strongly,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree
23,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,Lowpay,Green,Blue,No,5.21,3.1,1.94,5.22,4.66,3.26,0.78,0.21,2.78,0.46,5.52,0.38,4.38,4.34,0.49,0.5,0.69,0.47,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
24,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,Highpay,Green,Blue,No,0.75,4.08,0,2.95,0.67,1.88,0.7,0.66,0,0,6.08,0,0.79,7,0,0,0.81,0,Agree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
25,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,Highpay,Yellow,Green,No,0.35,1.18,0,0.08,0.21,2.1,2.54,1.66,1.75,0.18,1.4,0.06,0.07,0.14,0.19,0.31,0.38,0.25,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
26,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Highpay,Green,Blue,Yes,0.18,0,0.08,0.25,7,0.13,0.1,0.1,3.23,0.23,7,0.15,0,6.84,0,0.16,0.37,0.17,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Strongly,Disagree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Disagree Somewhat,Disagree Strongly,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
27,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,Highpay,Green,Blue,No,0,3.04,0.91,1,7,3.01,0,0,2.33,0,5.38,0,0,7,0,1.05,1.02,0,Agree Strongly,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Strongly,Agree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Agree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
28,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,Highpay,Green,Blue,No,1.3,3.93,0.34,1.91,3.4,2.52,0.29,0.28,0.18,0.32,6.13,0.27,0.23,7,0.35,0.24,0.22,0.22,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Disagree Strongly,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Disagree Strongly,Agree Strongly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree
29,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,Highpay,Green,Blue,No,5.16,3.01,0.37,3.07,5.62,2.2,2.63,1.39,1.36,0.07,1.66,0.08,2.61,5.11,0.24,1.1,1.74,1.13,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Agree Somewhat,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
30,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Lowpay,Green,Blue,No,5.39,7,3.07,0.35,4.69,5.08,4.74,4.69,0.36,0.34,6.96,0.3,0.38,7,0.26,0.33,0.38,0.26,Disagree Strongly,Disagree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Disagree Strongly,Agree Somewhat,Agree Strongly,Disagree Strongly,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
